user_id;segment_label
590420;flight
458479;free_bag
624497;free_bag
619079;cancellation
514300;free_meal
485658;free_bag
497077;flight
522761;cancellation
536474;cancellation
561908;free_bag
669449;hotel
557762;flight
487453;hotel
420669;cancellation
586063;cancellation
538069;hotel
576849;cancellation
514167;cancellation
478760;flight
617402;hotel
525844;flight
524448;free_bag
727886;flight
700237;cancellation
690420;hotel
604688;hotel
516057;hotel
565565;flight
763129;hotel
529205;free_meal
557815;hotel
557879;cancellation
171470;free_bag
389434;flight
633725;free_bag
542418;hotel
546131;hotel
510188;cancellation
576103;hotel
547164;flight
538666;cancellation
510694;hotel
380949;hotel
507395;free_bag
563059;flight
204997;flight
575554;free_bag
546419;hotel
647662;cancellation
568931;cancellation
474120;cancellation
538147;cancellation
515124;cancellation
535024;free_bag
553985;cancellation
357737;hotel
556579;hotel
595183;cancellation
514627;free_meal
434623;hotel
577541;flight
651744;hotel
437162;free_bag
534858;cancellation
527133;hotel
603592;cancellation
548961;free_bag
491995;free_meal
488314;hotel
435882;free_meal
581120;free_bag
645047;flight
620884;hotel
556623;flight
480895;cancellation
526308;cancellation
553938;cancellation
546864;flight
589404;cancellation
736075;free_bag
480313;cancellation
563853;cancellation
519469;hotel
573153;cancellation
464614;flight
599649;hotel
561031;cancellation
651491;flight
530667;hotel
585650;hotel
488870;cancellation
586721;cancellation
570750;cancellation
510700;free_bag
571300;flight
566999;cancellation
446138;hotel
528953;hotel
557262;free_bag
621665;free_bag
600515;free_bag
541162;flight
527944;flight
518135;hotel
614748;free_bag
631787;flight
328590;hotel
559695;hotel
542142;free_bag
539919;free_meal
508625;free_bag
537676;flight
545684;free_bag
487715;free_meal
421666;free_bag
666174;cancellation
599065;cancellation
517392;cancellation
564495;flight
546280;hotel
640867;cancellation
553773;cancellation
563711;flight
553967;hotel
465731;cancellation
330764;free_bag
523768;cancellation
511665;flight
665746;free_bag
529602;free_bag
428858;cancellation
536212;free_bag
512928;free_bag
492497;free_bag
512558;free_meal
520696;cancellation
515675;flight
511677;hotel
607152;flight
513543;cancellation
521491;hotel
411179;flight
528839;cancellation
632475;free_bag
438551;free_bag
501436;free_bag
